date,bF
2012-02-01,2.6622717608115573e-5
2012-03-01,1.2115727773753195e-5
2012-04-01,5.707145451320584e-6
2012-05-01,1.744027129537631e-5
2012-06-01,2.1712659510331385e-5
2012-07-01,3.577328042671338e-5
2012-08-01,1.0926473442276894e-4
2012-09-01,2.0969774096835463e-4
2012-10-01,1.05980734526199e-4
2012-11-01,1.2699195716541837e-4
2012-12-01,3.1118290282060836e-5
2013-01-01,3.328636788367983e-5
2013-02-01,5.311790123966532e-5
2013-03-01,2.604881471356937e-5
2013-04-01,1.925763046143929e-5
2013-05-01,1.849242660204435e-5
2013-06-01,1.3837436457391807e-5
2013-07-01,2.1776426498614294e-5
2013-08-01,5.6306250653810905e-5
2013-09-01,1.1350523914358256e-4
2013-10-01,7.546823063282583e-5
2013-11-01,3.797324152247383e-5
2013-12-01,5.021650327279285e-5
2014-01-01,4.237316371399473e-5
2014-02-01,7.027122108776853e-5
2014-03-01,3.3796503789943125e-5
2014-04-01,1.6898251894971563e-5
2014-05-01,2.0788038180229165e-5
2014-06-01,2.6303882666701017e-5
2014-07-01,2.2254678910736132e-5
2014-08-01,9.778667653184487e-5
2014-09-01,1.5906675227172286e-4
2014-10-01,1.1385595757913858e-4
2014-11-01,6.791184252130081e-5
2014-12-01,7.919859944737615e-5
2015-01-01,2.89820961745833e-5
2015-02-01,4.6932503376222904e-5
2015-03-01,3.156465920004122e-5
2015-04-01,1.8205475154771248e-5
2015-05-01,1.5049009234767127e-5
2015-06-01,2.1776426498614294e-5
2015-07-01,2.384885361780892e-5
2015-08-01,9.549106495366006e-5
2015-09-01,2.1266290592351003e-4
2015-10-01,2.3039012866615945e-4
2015-11-01,1.8632713976266755e-4
2015-12-01,1.9484003269843624e-4
2016-01-01,9.447079314113347e-5
2016-02-01,1.0929661791691041e-4
2016-03-01,5.330920220451406e-5
2016-04-01,1.6898251894971563e-5
2016-05-01,2.219091192245322e-5
2016-06-01,2.7324154479227602e-5
2016-07-01,6.179021164614129e-5
2016-08-01,1.446235294256434e-4
2016-09-01,1.8537063493842388e-4
2016-10-01,9.545918145951859e-5
2016-11-01,6.501044455442833e-5
2016-12-01,2.7005319537813042e-5
2017-01-01,2.582563025457918e-5
2017-02-01,4.122535792490232e-5
2017-03-01,3.0098018469534254e-5
2017-04-01,1.6164931529718078e-5
2017-05-01,1.865184407275163e-5
2017-06-01,2.544302832488171e-5
2017-07-01,5.640190113623527e-5
2017-08-01,1.2641805427087216e-4
2017-09-01,2.677575837999456e-4
2017-10-01,1.620000337327368e-4
2017-11-01,1.2405867570440443e-4
2017-12-01,1.0005040461588823e-4
2018-01-01,1.683448490668865e-5
2018-02-01,1.1685300602843543e-4
2018-03-01,6.185397863442421e-5
2018-04-01,9.88388318385129e-6
2018-05-01,1.865184407275163e-5
2018-06-01,2.4645940971345315e-5
2018-07-01,4.093840647762922e-5
2018-08-01,7.384217243161158e-5
2018-09-01,2.117382845934078e-4
2018-10-01,7.390593941989449e-5
2018-11-01,3.953553273540516e-5
2018-12-01,2.3306834217404174e-5
2019-01-01,4.508326071601847e-5
2019-02-01,4.929188194269063e-5
2019-03-01,7.495809472656253e-5
2019-04-01,6.089747381018053e-5
2019-05-01,2.4645940971345315e-5
2019-06-01,2.4996659406901328e-5
2019-07-01,4.8558561577437145e-5
2019-08-01,1.6082034444950293e-4
2019-09-01,1.6773906267819884e-4
2019-10-01,9.456644362355784e-5
2019-11-01,8.165362849626824e-5
2019-12-01,1.9959067332551315e-5
2020-01-01,4.055580454793175e-5
2020-02-01,7.80826771524252e-5
2020-03-01,5.5445396311991594e-5
2020-04-01,2.990671750468552e-5
2020-05-01,2.219091192245322e-5
2020-06-01,2.604881471356937e-5
2020-07-01,4.272388214955074e-5
2020-08-01,1.5782329600020609e-4
2020-09-01,2.879717190856286e-4
2020-10-01,1.7111871305719315e-4
2020-11-01,5.6656969089366914e-5
2020-12-01,1.3040349103855413e-5
2021-01-01,2.219091192245322e-5
2021-02-01,4.0651455030356115e-5
2021-03-01,2.496477591275987e-5
2021-04-01,1.1031688972943699e-5
2021-05-01,3.449794066105515e-5
2021-06-01,2.777052339720798e-5
2021-07-01,5.126865857946089e-5
2021-08-01,1.3190201526320255e-4
2021-09-01,1.5485813104505072e-4
2021-10-01,1.0228224920579013e-4
2021-11-01,2.914151364529058e-5
2021-12-01,2.7132853514378867e-5
2022-01-01,2.7132853514378867e-5
